ITEM: TIMESTEP
 1
ITEM: NUMBER OF ATOMS
81 6.676813 -0.023573 6.673171
82 6.673902 1.675346 8.342209
83 8.343988 -0.016391 8.344711
84 8.341436 1.656663 6.675984
85 0.000223 3.319917 6.673187
86 0.000364 5.007695 8.342506
87 1.670774 3.335362 8.346145
88 1.666114 5.023506 6.675343
89 3.318508 3.331655 6.669642
90 3.337542 5.014377 8.341875
91 5.006922 3.335820 8.345216
92 5.003939 5.012850 6.675761
93 6.677105 3.332304 6.669960
94 6.673120 5.015492 8.341305
95 8.344521 3.333897 8.345976
96 8.339123 4.998504 6.676761
97 0.001286 6.673058 6.672313
98 -0.000719 8.343763 8.343761
99 1.671254 6.674131 8.346588
100 1.663393 8.349739 6.675807
101 3.338337 6.671358 6.671429
102 3.336305 8.346229 8.343213
103 5.009152 6.672360 8.346742
104 5.001089 8.349354 6.676633
105 6.676379 6.669821 6.669590
106 6.672918 8.347496 8.342019
107 8.343935 6.670861 8.348662
108 8.344259 8.342802 6.674233
ITEM: TIMESTEP
 27
ITEM: NUMBER OF ATOMS
108
ITEM: BOX BOUNDS
0.000 10.012500 xlo xhi
0.000 10.012500 ylo yhi
0.000 10.012500 zlo zhi

ITEM: ATOMS id x y z
1 0.002298 -0.000307 0.003662
2 -0.000726 1.677001 1.667607
3 1.670172 -0.004246 1.669974
4 1.667893 1.676674 0.000774
5 3.336654 -0.007585 0.001572
6 3.338348 1.677466 1.669649
7 5.006819 -0.005569 1.669372
8 5.004743 1.675232 0.001083
9 6.675593 -0.005597 -0.000387
10 6.672985 1.680157 1.668053
11 8.343172 -0.017027 1.673035
12 8.341549 1.665256 0.000333
13 0.000622 3.328834 -0.000884
14 0.002020 5.006930 1.669953
15 1.669946 3.336398 1.672860
16 1.668216 5.009642 0.001660
17 3.337855 3.336196 -0.002794
18 3.335626 5.009080 1.670234
19 5.008861 3.335402 1.672035
20 5.004030 5.011258 -0.000316
21 6.675831 3.336398 -0.001619
22 6.675253 5.009164 1.669853
23 8.343182 3.333448 1.675963
24 8.341786 5.005103 -0.001108
25 0.000479 6.676090 0.001558
26 -0.002598 8.343719 1.670507
27 1.670603 6.673520 1.673039
28 1.658829 8.347024 0.001332
29 3.339917 6.672403 -0.003292
30 3.336282 8.346183 1.671066
31 5.010842 6.672886 1.674098
32 5.004507 8.346927 0.001419
33 6.676272 6.673651 -0.002183
34 6.673578 8.346820 1.669698
35 8.344872 6.671438 1.674957
36 8.341115 8.340444 -0.007944
37 0.001469 -0.001509 3.339437
38 -0.001987 1.675054 5.005323
39 1.667608 -0.005875 5.008109
40 1.666400 1.683749 3.339003
41 3.337923 -0.020877 3.335714
42 3.337777 1.677466 5.007721
43 5.008394 -0.005257 5.009193
44 5.003537 1.685397 3.337082
45 6.676762 -0.023185 3.334744
46 6.675003 1.674360 5.008840
47 8.342278 -0.011256 5.009024
48 8.341534 1.651816 3.337856
49 -0.000271 3.330254 3.335924
50 -0.000858 5.010911 5.008661
51 1.670639 3.337225 5.008939
52 1.658751 5.012089 3.337393
53 3.337852 3.332289 3.332817
54 3.336626 5.018860 5.008762
55 5.008445 3.335466 5.011808
56 5.001098 5.036404 3.336800
57 6.677932 3.331791 3.333871
58 6.672588 5.015246 5.009342
59 8.343204 3.333572 5.010629
60 8.338704 4.984903 3.338614
61 0.000276 6.672249 3.335295
62 -0.008369 8.345299 5.006354
63 1.662842 6.673524 5.010660
64 1.657704 8.349482 3.338879
65 3.342428 6.670167 3.330521
66 3.335773 8.347658 5.009417
67 5.016162 6.673512 5.012991
68 5.001766 8.350659 3.339138
69 6.677016 6.670029 3.331163
70 6.673489 8.347830 5.007024
71 8.344066 6.669771 5.013877
72 8.337328 8.338605 3.325280
73 0.000636 -0.002144 6.675776
74 -0.002695 1.673623 8.343369
75 1.670292 -0.001618 8.342751
76 1.659908 1.676046 6.675308
77 3.341990 -0.023081 6.674496
78 3.334453 1.679627 8.343969
79 5.007611 -0.006037 8.342193
80 5.004352 1.686569 6.674973
81 6.677000 -0.026459 6.672950
82 6.673815 1.676122 8.342095
83 8.343997 -0.018279 8.344848
84 8.341115 1.655115 6.676075
85 0.000287 3.318222 6.672963
86 0.000349 5.007912 8.342400
87 1.670972 3.335175 8.346346
88 1.665752 5.025949 6.675426
89 3.316660 3.331061 6.669064
90 3.337467 5.015382 8.341743
91 5.007194 3.335650 8.345389
92 5.003635 5.013850 6.675891
93 6.677305 3.331737 6.669397
94 6.672948 5.016670 8.341133
95 8.344551 3.333509 8.346312
96 8.338589 4.997091 6.676885
97 0.001391 6.672799 6.672083
98 -0.000830 8.343789 8.343705
99 1.671466 6.673939 8.346859
100 1.662825 8.350398 6.675895
101 3.338487 6.670831 6.670904
102 3.336008 8.346537 8.343134
103 5.009711 6.672091 8.347038
104 5.000477 8.350042 6.676757
105 6.676552 6.669245 6.669005
106 6.672630 8.347909 8.341891
107 8.343942 6.670367 8.349188
108 8.344279 8.342764 6.674202
ITEM: TIMESTEP
 28
ITEM: NUMBER OF ATOMS
108
ITEM: BOX BOUNDS
0.000 10.012500 xlo xhi
0.000 10.012500 ylo yhi
0.000 10.012500 zlo zhi

ITEM: ATOMS id x y z
1 0.002496 -0.000308 0.004024
2 -0.000851 1.677818 1.667527
3 1.670401 -0.004901 1.670146
4 1.667798 1.677554 0.000845
5 3.336646 -0.008532 0.001651
6 3.338357 1.678505 1.669729
7 5.006967 -0.006260 1.669530
8 5.004637 1.676050 0.001147
9 6.675741 -0.006312 -0.000362
10 6.672857 1.681298 1.668050
11 8.343099 -0.019124 1.673483
12 8.341339 1.664779 0.000367
13 0.000703 3.327727 -0.000939
14 0.002175 5.007014 1.670050
15 1.670114 3.336202 1.673382
16 1.668195 5.009984 0.001773
17 3.337995 3.335956 -0.003124
18 3.335496 5.009489 1.670373
19 5.009085 3.335192 1.672517
20 5.003857 5.012064 -0.000269
21 6.675989 3.336187 -0.001883
22 6.675223 5.009549 1.669973
23 8.343136 3.332939 1.676782
24 8.341517 5.004773 -0.001135
25 0.000555 6.676129 0.001645
26 -0.002868 8.343771 1.670661
27 1.670793 6.673354 1.673527
28 1.657941 8.347429 0.001406
29 3.340132 6.672133 -0.003628
30 3.336041 8.346528 1.671295
31 5.011405 6.672619 1.674699
32 5.004227 8.347324 0.001494
33 6.676447 6.673433 -0.002475
34 6.673309 8.347208 1.669871
35 8.344913 6.670936 1.675760
36 8.340724 8.340025 -0.008871
37 0.001607 -0.001578 3.339608
38 -0.002158 1.675769 5.005263
39 1.667585 -0.006535 5.008351
40 1.666148 1.685594 3.339095
41 3.338063 -0.023451 3.335483
42 3.337744 1.678398 5.007796
43 5.008640 -0.005790 5.009501
44 5.003254 1.687357 3.337097
45 6.676954 -0.025857 3.334496
46 6.674954 1.675141 5.009092
47 8.342199 -0.012714 5.009476
48 8.341199 1.650005 3.337893
49 -0.000225 3.329627 3.335698
50 -0.000983 5.011459 5.008849
51 1.670835 3.337136 5.009350
52 1.657865 5.012768 3.337472
53 3.337991 3.331725 3.332254
54 3.336438 5.020473 5.009009
55 5.008912 3.335306 5.012357
56 5.000573 5.039922 3.336797
57 6.678172 3.331235 3.333375
58 6.672400 5.016452 5.009615
59 8.343129 3.333186 5.011221
60 8.338150 4.982227 3.338676
61 0.000345 6.671926 3.335024
62 -0.009074 8.345385 5.006454
63 1.662355 6.673301 5.011218
64 1.656598 8.350106 3.338959
65 3.342903 6.669574 3.329804
66 3.335556 8.348019 5.009693
67 5.017161 6.673274 5.013668
68 5.001220 8.351361 3.339226
69 6.677220 6.669450 3.330493
70 6.673273 8.348203 5.007206
71 8.344077 6.669221 5.014739
72 8.336671 8.337994 3.323949
73 0.000755 -0.002328 6.675924
74 -0.002965 1.674211 8.343287
75 1.670476 -0.001998 8.342706
76 1.659076 1.676757 6.675432
77 3.342425 -0.025895 6.674332
78 3.334132 1.680967 8.343923
79 5.007789 -0.006655 8.342056
80 5.004101 1.688656 6.675030
81 6.677200 -0.029578 6.672710
82 6.673721 1.676964 8.341975
83 8.344006 -0.020310 8.344997
84 8.340766 1.653437 6.676172
85 0.000358 3.316440 6.672721
86 0.000329 5.008155 8.342288
87 1.671185 3.334977 8.346559
88 1.665361 5.028615 6.675517
89 3.314730 3.330426 6.668443
90 3.337382 5.016471 8.341604
91 5.007507 3.335467 8.345576
92 5.003304 5.014976 6.676031
93 6.677519 3.331131 6.668794
94 6.672765 5.017946 8.340952
95 8.344580 3.333091 8.346679
96 8.338016 4.995524 6.677014
97 0.001502 6.672521 6.671841
98 -0.000949 8.343817 8.343644
99 1.671692 6.673728 8.347149
100 1.662219 8.351102 6.675990
101 3.338652 6.670260 6.670335
102 3.335673 8.346868 8.343048
103 5.010317 6.671803 8.347353
104 4.999820 8.350783 6.676887
105 6.676739 6.668627 6.668377
106 6.672320 8.348352 8.341755
107 8.343950 6.669834 8.349751
108 8.344300 8.342726 6.674171
ITEM: TIMESTEP
 29
ITEM: NUMBER OF ATOMS
108
ITEM: BOX BOUNDS
0.000 10.012500 xlo xhi
0.000 10.012500 ylo yhi
0.000 10.012500 zlo zhi

ITEM: ATOMS id x y z
1 0.002705 -0.000305 0.004410
2 -0.000984 1.678682 1.667441
3 1.670649 -0.005625 1.670331
4 1.667698 1.678490 0.000921
5 3.336645 -0.009563 0.001730
6 3.338362 1.679619 1.669814
7 5.007129 -0.007011 1.669702
8 5.004527 1.676924 0.001215
9 6.675903 -0.007094 -0.000334
10 6.672725 1.682506 1.668052
11 8.343021 -0.021389 1.673962
12 8.341114 1.664255 0.000404
13 0.000790 3.326533 -0.000995
14 0.002336 5.007104 1.670153
15 1.670294 3.335991 1.673943
16 1.668173 5.010355 0.001892
17 3.338149 3.335696 -0.003478
18 3.335352 5.009938 1.670521
19 5.009323 3.334968 1.673040
20 5.003673 5.012959 -0.000217
21 6.676161 3.335959 -0.002168
22 6.675190 5.009967 1.670103
23 8.343087 3.332393 1.677658
24 8.341226 5.004388 -0.001161
25 0.000637 6.676167 0.001735
26 -0.003154 8.343830 1.670824
27 1.670996 6.673174 1.674054
28 1.657008 8.347865 0.001483
29 3.340360 6.671845 -0.003987
30 3.335777 8.346902 1.671539
31 5.012010 6.672332 1.675345
32 5.003921 8.347752 0.001571
33 6.676637 6.673196 -0.002790
34 6.673016 8.347627 1.670058
35 8.344953 6.670394 1.676625
36 8.340299 8.339573 -0.009869
37 0.001753 -0.001644 3.339791
38 -0.002336 1.676530 5.005200
39 1.667568 -0.007250 5.008614
40 1.665878 1.687567 3.339191
41 3.338217 -0.026241 3.335231
42 3.337699 1.679404 5.007874
43 5.008909 -0.006355 5.009833
44 5.002951 1.689449 3.337118
45 6.677159 -0.028735 3.334231
46 6.674899 1.675995 5.009361
47 8.342119 -0.014292 5.009968
48 8.340836 1.648068 3.337933
49 -0.000174 3.328968 3.335454
50 -0.001116 5.012051 5.009047
51 1.671045 3.337038 5.009797
52 1.656934 5.013500 3.337561
53 3.338145 3.331117 3.331646
54 3.336225 5.022218 5.009272
55 5.009420 3.335137 5.012943
56 5.000011 5.043708 3.336797
57 6.678425 3.330641 3.332840
58 6.672202 5.017756 5.009904
59 8.343049 3.332773 5.011862
60 8.337555 4.979339 3.338740
61 0.000420 6.671578 3.334732
62 -0.009805 8.345469 5.006565
63 1.661853 6.673059 5.011820
64 1.655432 8.350771 3.339042
65 3.343404 6.668936 3.329036
66 3.335324 8.348401 5.009987
67 5.018214 6.673016 5.014390
68 5.000634 8.352110 3.339316
69 6.677437 6.668827 3.329774
70 6.673042 8.348598 5.007404
71 8.344089 6.668631 5.015664
72 8.335970 8.337339 3.322525
73 0.000883 -0.002522 6.676082
74 -0.003247 1.674835 8.343196
75 1.670673 -0.002424 8.342661
76 1.658204 1.677513 6.675567
77 3.342883 -0.028932 6.674151
78 3.333791 1.682410 8.343871
79 5.007980 -0.007314 8.341911
80 5.003830 1.690889 6.675095
81 6.677414 -0.032939 6.672452
82 6.673622 1.677875 8.341848
83 8.344015 -0.022491 8.345158
84 8.340389 1.651621 6.676275
85 0.000436 3.314571 6.672462
86 0.000302 5.008425 8.342169
87 1.671411 3.334767 8.346784
88 1.664940 5.031515 6.675616
89 3.312716 3.329749 6.667781
90 3.337287 5.017647 8.341459
91 5.007861 3.335271 8.345778
92 5.002944 5.016239 6.676181
93 6.677747 3.330484 6.668149
94 6.672570 5.019322 8.340764
95 8.344609 3.332644 8.347075
96 8.337402 4.993794 6.677150
97 0.001620 6.672222 6.671585
98 -0.001075 8.343846 8.343575
99 1.671931 6.673498 8.347457
100 1.661573 8.351854 6.676092
101 3.338830 6.669642 6.669720
102 3.335302 8.347225 8.342956
103 5.010972 6.671495 8.347689
104 4.999116 8.351578 6.677024
105 6.676940 6.667963 6.667705
106 6.671985 8.348827 8.341613
107 8.343957 6.669262 8.350355
108 8.344320 8.342688 6.674141
ITEM: TIMESTEP
 30
ITEM: NUMBER OF ATOMS
108
ITEM: BOX BOUNDS
0.000 10.012500 xlo xhi
0.000 10.012500 ylo yhi
0.000 10.012500 zlo zhi

ITEM: ATOMS id x y z
1 0.002926 -0.000297 0.004820
2 -0.001126 1.679594 1.667349
3 1.670919 -0.006420 1.670530
4 1.667593 1.679482 0.001004
5 3.336650 -0.010680 0.001810
6 3.338366 1.680811 1.669905
7 5.007306 -0.007826 1.669890
8 5.004413 1.677855 0.001287
9 6.676079 -0.007949 -0.000303
10 6.672590 1.683783 1.668059
11 8.342936 -0.023832 1.674472
12 8.340873 1.663680 0.000442
13 0.000884 3.325249 -0.001054
14 0.002503 5.007202 1.670265
15 1.670489 3.335762 1.674546
16 1.668150 5.010759 0.002018
17 3.338317 3.335415 -0.003857
18 3.335192 5.010431 1.670680
19 5.009575 3.334729 1.673604
20 5.003475 5.013948 -0.000160
21 6.676347 3.335713 -0.002475
22 6.675152 5.010422 1.670243
23 8.343034 3.331809 1.678594
24 8.340911 5.003946 -0.001185
25 0.000726 6.676205 0.001828
26 -0.003455 8.343894 1.670998
27 1.671213 6.672978 1.674621
28 1.656028 8.348332 0.001562
29 3.340603 6.671536 -0.004372
30 3.335489 8.347308 1.671799
31 5.012658 6.672023 1.676036
32 5.003590 8.348213 0.001651
33 6.676840 6.672939 -0.003130
34 6.672696 8.348079 1.670261
35 8.344993 6.669809 1.677556
36 8.339841 8.339087 -0.010941
37 0.001908 -0.001708 3.339985
38 -0.002522 1.677337 5.005132
39 1.667558 -0.008021 5.008899
40 1.665591 1.689668 3.339294
41 3.338385 -0.029256 3.334955
42 3.337642 1.680488 5.007954
43 5.009201 -0.006953 5.010188
44 5.002627 1.691674 3.337143
45 6.677379 -0.031828 3.333949
46 6.674836 1.676925 5.009648
47 8.342037 -0.015995 5.010502
48 8.340445 1.646001 3.337975
49 -0.000116 3.328276 3.335194
50 -0.001258 5.012686 5.009257
51 1.671269 3.336930 5.010280
52 1.655956 5.014284 3.337660
53 3.338312 3.330465 3.330991
54 3.335982 5.024100 5.009554
55 5.009968 3.334957 5.013569
56 4.999411 5.047773 3.336799
57 6.678693 3.330007 3.332263
58 6.671992 5.019160 5.010212
59 8.342965 3.332331 5.012554
60 8.336920 4.976231 3.338806
61 0.000503 6.671205 3.334418
62 -0.010561 8.345553 5.006687
63 1.661337 6.672798 5.012467
64 1.654205 8.351480 3.339128
65 3.343932 6.668251 3.328215
66 3.335079 8.348804 5.010299
67 5.019321 6.672738 5.015160
68 5.000008 8.352907 3.339410
69 6.677670 6.668158 3.329005
70 6.672794 8.349016 5.007620
71 8.344100 6.668002 5.016655
72 8.335223 8.336638 3.321005
73 0.001021 -0.002725 6.676250
74 -0.003543 1.675496 8.343096
75 1.670886 -0.002900 8.342619
76 1.657290 1.678316 6.675716
77 3.343366 -0.032200 6.673953
78 3.333430 1.683960 8.343813
79 5.008186 -0.008015 8.341759
80 5.003538 1.693271 6.675168
81 6.677642 -0.036553 6.672173
82 6.673515 1.678859 8.341716
83 8.344024 -0.024826 8.345332
84 8.339982 1.649662 6.676384
85 0.000520 3.312614 6.672184
86 0.000268 5.008724 8.342044
87 1.671652 3.334544 8.347023
88 1.664487 5.034659 6.675723
89 3.310620 3.329028 6.667074
90 3.337182 5.018913 8.341306
91 5.008256 3.335063 8.345996
92 5.002555 5.017648 6.676342
93 6.677990 3.329794 6.667461
94 6.672362 5.020803 8.340567
95 8.344639 3.332165 8.347504
96 8.336745 4.991894 6.677293
97 0.001744 6.671903 6.671315
98 -0.001210 8.343877 8.343499
99 1.672184 6.673249 8.347786
100 1.660886 8.352655 6.676200
101 3.339022 6.668976 6.669056
102 3.334892 8.347606 8.342856
103 5.011676 6.671168 8.348047
104 4.998363 8.352428 6.677168
105 6.677155 6.667253 6.666986
106 6.671626 8.349333 8.341463
107 8.343964 6.668649 8.350999
108 8.344340 8.342650 6.674110
ITEM: TIMESTEP
 31
ITEM: NUMBER OF ATOMS
108
ITEM: BOX BOUNDS
0.000 10.012500 xlo xhi
0.000 10.012500 ylo yhi
0.000 10.012500 zlo zhi

ITEM: ATOMS id x y z
1 0.003158 -0.000285 0.005256
2 -0.001275 1.680553 1.667250
3 1.671210 -0.007290 1.670742
4 1.667482 1.680531 0.001093
5 3.336662 -0.011887 0.001890
6 3.338368 1.682081 1.670002
7 5.007497 -0.008709 1.670093
8 5.004295 1.678844 0.001363
9 6.676270 -0.008878 -0.000269
10 6.672450 1.685128 1.668072
11 8.342844 -0.026458 1.675015
12 8.340616 1.663051 0.000483
13 0.000985 3.323872 -0.001115
14 0.002676 5.007307 1.670383
15 1.670698 3.335517 1.675192
16 1.668126 5.011199 0.002150
17 3.338500 3.335112 -0.004262
18 3.335014 5.010974 1.670850
19 5.009841 3.334473 1.674212
20 5.003265 5.015033 -0.000097
21 6.676548 3.335450 -0.002805
22 6.675109 5.010919 1.670393
23 8.342975 3.331185 1.679591
24 8.340572 5.003442 -0.001207
25 0.000822 6.676243 0.001925
26 -0.003771 8.343966 1.671181
27 1.671443 6.672765 1.675230
28 1.655002 8.348832 0.001644
29 3.340860 6.671206 -0.004782
30 3.335175 8.347745 1.672075
31 5.013349 6.671692 1.676775
32 5.003233 8.348708 0.001733
33 6.677059 6.672662 -0.003495
34 6.672349 8.348565 1.670481
35 8.345033 6.669181 1.678555
36 8.339347 8.338566 -0.012088
37 0.002072 -0.001769 3.340192
38 -0.002716 1.678190 5.005058
39 1.667554 -0.008852 5.009208
40 1.665286 1.691900 3.339402
41 3.338567 -0.032506 3.334656
42 3.337572 1.681655 5.008037
43 5.009517 -0.007584 5.010567
44 5.002282 1.694033 3.337173
45 6.677613 -0.035148 3.333647
46 6.674766 1.677934 5.009954
47 8.341954 -0.017826 5.011080
48 8.340025 1.643798 3.338021
49 -0.000051 3.327551 3.334915
50 -0.001409 5.013367 5.009478
51 1.671508 3.336812 5.010802
52 1.654931 5.015122 3.337768
53 3.338494 3.329766 3.330288
54 3.335709 5.026125 5.009853
55 5.010558 3.334767 5.014236
56 4.998771 5.052126 3.336804
57 6.678976 3.329334 3.331643
58 6.671771 5.020670 5.010538
59 8.342875 3.331860 5.013300
60 8.336241 4.972896 3.338874
61 0.000592 6.670805 3.334082
62 -0.011342 8.345634 5.006820
63 1.660806 6.672517 5.013161
64 1.652917 8.352233 3.339218
65 3.344487 6.667516 3.327341
66 3.334820 8.349228 5.010629
67 5.020481 6.672439 5.015978
68 4.999339 8.353753 3.339506
69 6.677917 6.667442 3.328183
70 6.672528 8.349458 5.007855
71 8.344112 6.667330 5.017714
72 8.334429 8.335890 3.319386
73 0.001170 -0.002938 6.676428
74 -0.003851 1.676196 8.342986
75 1.671113 -0.003429 8.342577
76 1.656335 1.679166 6.675878
77 3.343874 -0.035707 6.673736
78 3.333048 1.685623 8.343749
79 5.008406 -0.008760 8.341600
80 5.003224 1.695803 6.675250
81 6.677884 -0.040429 6.671874
82 6.673402 1.679921 8.341576
83 8.344032 -0.027322 8.345518
84 8.339543 1.647553 6.676500
85 0.000612 3.310568 6.671888
86 0.000227 5.009053 8.341912
87 1.671908 3.334308 8.347275
88 1.664001 5.038055 6.675837
89 3.308443 3.328262 6.666321
90 3.337066 5.020272 8.341147
91 5.008693 3.334840 8.346228
92 5.002136 5.019214 6.676514
93 6.678247 3.329060 6.666729
94 6.672142 5.022392 8.340361
95 8.344668 3.331654 8.347966
96 8.336043 4.989817 6.677443
97 0.001875 6.671561 6.671031
98 -0.001354 8.343909 8.343417
99 1.672451 6.672978 8.348134
100 1.660157 8.353507 6.676316
101 3.339230 6.668261 6.668343
102 3.334444 8.348012 8.342749
103 5.012429 6.670819 8.348426
104 4.997561 8.353336 6.677320
105 6.677386 6.666495 6.666218
106 6.671242 8.349871 8.341305
107 8.343972 6.667993 8.351686
108 8.344361 8.342612 6.674079
ITEM: TIMESTEP
 32
ITEM: NUMBER OF ATOMS
108
ITEM: BOX BOUNDS
0.000 10.012500 xlo xhi
0.000 10.012500 ylo yhi
0.000 10.012500 zlo zhi

ITEM: ATOMS id x y z
1 0.003402 -0.000268 0.005716
2 -0.001433 1.681562 1.667145
3 1.671524 -0.008240 1.670967
4 1.667365 1.681639 0.001188
5 3.336683 -0.013190 0.001971
6 3.338368 1.683431 1.670105
7 5.007704 -0.009662 1.670313
8 5.004173 1.679893 0.001444
9 6.676477 -0.009887 -0.000233
10 6.672306 1.686544 1.668091
11 8.342746 -0.029274 1.675592
12 8.340341 1.662365 0.000527
13 0.001092 3.322399 -0.001178
14 0.002855 5.007420 1.670510
15 1.670922 3.335255 1.675882
16 1.668100 5.011679 0.002288
17 3.338699 3.334788 -0.004694
18 3.334819 5.011568 1.671031
19 5.010123 3.334201 1.674863
20 5.003042 5.016220 -0.000028
21 6.676765 3.335167 -0.003158
22 6.675062 5.011460 1.670553
23 8.342913 3.330520 1.680652
24 8.340208 5.002876 -0.001227
25 0.000925 6.676281 0.002026
26 -0.004103 8.344044 1.671375
27 1.671688 6.672536 1.675881
28 1.653928 8.349366 0.001729
29 3.341131 6.670854 -0.005219
30 3.334836 8.348216 1.672369
31 5.014083 6.671337 1.677562
32 5.002848 8.349238 0.001818
33 6.677293 6.672364 -0.003887
34 6.671974 8.349086 1.670717
35 8.345073 6.668507 1.679623
36 8.338816 8.338007 -0.013313
37 0.002244 -0.001826 3.340412
38 -0.002918 1.679090 5.004980
39 1.667557 -0.009746 5.009541
40 1.664961 1.694264 3.339517
41 3.338764 -0.036001 3.334331
42 3.337490 1.682909 5.008124
43 5.009858 -0.008249 5.010971
44 5.001915 1.696528 3.337210
45 6.677863 -0.038704 3.333326
46 6.674688 1.679028 5.010280
47 8.341868 -0.019792 5.011703
48 8.339575 1.641456 3.338069
49 0.000021 3.326791 3.334618
50 -0.001569 5.014095 5.009711
51 1.671763 3.336683 5.011363
52 1.653857 5.016018 3.337887
53 3.338692 3.329019 3.329534
54 3.335407 5.028298 5.010172
55 5.011191 3.334565 5.014944
56 4.998091 5.056778 3.336812
57 6.679275 3.328617 3.330978
58 6.671537 5.022287 5.010883
59 8.342781 3.331359 5.014102
60 8.335518 4.969324 3.338945
61 0.000689 6.670379 3.333723
62 -0.012148 8.345713 5.006965
63 1.660261 6.672214 5.013903
64 1.651565 8.353031 3.339310
65 3.345069 6.666730 3.326410
66 3.334546 8.349674 5.010978
67 5.021696 6.672118 5.016846
68 4.998628 8.354650 3.339605
69 6.678180 6.666676 3.327308
70 6.672246 8.349925 5.008108
71 8.344123 6.666615 5.018843
72 8.333587 8.335093 3.317665
73 0.001329 -0.003161 6.676617
74 -0.004172 1.676933 8.342866
75 1.671355 -0.004013 8.342538
76 1.655338 1.680065 6.676054
77 3.344408 -0.039462 6.673501
78 3.332646 1.687400 8.343678
79 5.008642 -0.009548 8.341433
80 5.002888 1.698487 6.675340
81 6.678142 -0.044578 6.671554
82 6.673280 1.681063 8.341430
83 8.344041 -0.029983 8.345718
84 8.339073 1.645289 6.676622
85 0.000710 3.308432 6.671571
86 0.000179 5.009413 8.341772
87 1.672180 3.334058 8.347541
88 1.663482 5.041715 6.675961
89 3.306184 3.327449 6.665521
90 3.336940 5.021728 8.340980
91 5.009172 3.334604 8.346478
92 5.001684 5.020947 6.676696
93 6.678520 3.328280 6.665950
94 6.671910 5.024092 8.340147
95 8.344696 3.331109 8.348462
96 8.335297 4.987553 6.677599
97 0.002014 6.671198 6.670733
98 -0.001506 8.343942 8.343326
99 1.672733 6.672687 8.348505
100 1.659385 8.354410 6.676440
101 3.339453 6.667495 6.667579
102 3.333958 8.348446 8.342634
103 5.013232 6.670449 8.348828
104 4.996708 8.354302 6.677479
105 6.677632 6.665687 6.665401
106 6.670832 8.350444 8.341140
107 8.343979 6.667294 8.352416
108 8.344381 8.342575 6.674048
ITEM: TIMESTEP
 33
ITEM: NUMBER OF ATOMS
108
ITEM: BOX BOUNDS
0.000 10.012500 xlo xhi
0.000 10.012500 ylo yhi
0.000 10.012500 zlo zhi

ITEM: ATOMS id x y z
1 0.003658 -0.000245 0.006203
2 -0.001599 1.682621 1.667033
3 1.671861 -0.009273 1.671207
4 1.667244 1.682807 0.001291
5 3.336712 -0.014590 0.002052
6 3.338366 1.684861 1.670214
7 5.007927 -0.010691 1.670549
8 5.004047 1.681002 0.001530
9 6.676699 -0.010979 -0.000194
10 6.672158 1.688031 1.668116
11 8.342640 -0.032289 1.676204
12 8.340048 1.661619 0.000573
13 0.001207 3.320826 -0.001244
14 0.003041 5.007540 1.670646
15 1.671161 3.334975 1.676617
16 1.668071 5.012204 0.002432
17 3.338913 3.334441 -0.005152
18 3.334607 5.012219 1.671224
19 5.010419 3.333913 1.675560
20 5.002804 5.017511 0.000045
21 6.676997 3.334866 -0.003534
22 6.675008 5.012051 1.670725
23 8.342845 3.329814 1.681776
24 8.339818 5.002242 -0.001246
25 0.001035 6.676319 0.002130
26 -0.004451 8.344129 1.671581
27 1.671947 6.672289 1.676578
28 1.652806 8.349935 0.001817
29 3.341418 6.670480 -0.005684
30 3.334469 8.348721 1.672680
31 5.014860 6.670959 1.678401
32 5.002435 8.349804 0.001905
33 6.677544 6.672045 -0.004305
34 6.671570 8.349644 1.670971
35 8.345112 6.667787 1.680764
36 8.338248 8.337411 -0.014620
37 0.002426 -0.001879 3.340645
38 -0.003128 1.680038 5.004897
39 1.667569 -0.010704 5.009898
40 1.664618 1.696761 3.339638
41 3.338977 -0.039748 3.333979
42 3.337394 1.684254 5.008213
43 5.010225 -0.008949 5.011401
44 5.001524 1.699162 3.337253
45 6.678128 -0.042506 3.332985
46 6.674602 1.680209 5.010625
47 8.341781 -0.021896 5.012374
48 8.339095 1.638970 3.338120
49 0.000100 3.325997 3.334302
50 -0.001739 5.014872 5.009957
51 1.672033 3.336542 5.011965
52 1.652734 5.016973 3.338016
53 3.338905 3.328223 3.328728
54 3.335073 5.030623 5.010510
55 5.011865 3.334352 5.015696
56 4.997369 5.061739 3.336823
57 6.679590 3.327858 3.330268
58 6.671291 5.024016 5.011248
59 8.342681 3.330825 5.014961
60 8.334749 4.965508 3.339018
61 0.000793 6.669925 3.333340
62 -0.012978 8.345790 5.007123
63 1.659703 6.671891 5.014695
64 1.650149 8.353876 3.339406
65 3.345680 6.665891 3.325421
66 3.334259 8.350142 5.011347
67 5.022966 6.671774 5.017767
68 4.997872 8.355599 3.339708
69 6.678460 6.665860 3.326377
70 6.671946 8.350417 5.008380
71 8.344135 6.665856 5.020045
72 8.332695 8.334245 3.315839
73 0.001498 -0.003394 6.676815
74 -0.004505 1.677710 8.342734
75 1.671614 -0.004654 8.342501
76 1.654299 1.681016 6.676244
77 3.344967 -0.043475 6.673247
78 3.332222 1.689296 8.343600
79 5.008894 -0.010383 8.341258
80 5.002529 1.701325 6.675440
81 6.678415 -0.049010 6.671211
82 6.673151 1.682290 8.341276
83 8.344049 -0.032814 8.345931
